City,Region,Date,Mean Highest,Mean Lowest
San Francisco,West,1/1/1936,5.464,-0.497
San Francisco,West,2/1/1936,5.634,0.113
San Francisco,West,3/1/1936,5.073,-0.166
San Francisco,West,4/1/1936,4.883,-0.517
San Francisco,West,5/1/1936,5.293,-0.425
San Francisco,West,6/1/1936,5.425,-0.537
San Francisco,West,7/1/1936,5.595,-0.468
San Francisco,West,8/1/1936,5.605,-0.176
San Francisco,West,9/1/1936,5.405,0.083
San Francisco,West,10/1/1936,5.454,-0.235
San Francisco,West,11/1/1936,5.484,-0.606
San Francisco,West,12/1/1936,5.634,-0.625
San Francisco,West,1/1/1937,5.395,-0.478
San Francisco,West,2/1/1937,5.523,-0.035
San Francisco,West,3/1/1937,5.205,0.064
San Francisco,West,4/1/1937,4.844,-0.458
San Francisco,West,5/1/1937,5.205,-0.435
San Francisco,West,6/1/1937,5.415,-0.445
San Francisco,West,7/1/1937,5.733,-0.258
San Francisco,West,8/1/1937,5.572,-0.205
San Francisco,West,9/1/1937,5.303,-0.035
San Francisco,West,10/1/1937,5.234,-0.137
San Francisco,West,11/1/1937,5.415,-0.415
San Francisco,West,12/1/1937,5.762,-0.146
San Francisco,West,1/1/1938,5.543,-0.307
San Francisco,West,2/1/1938,5.572,0.615
San Francisco,West,3/1/1938,5.185,0.405
San Francisco,West,4/1/1938,4.995,-0.176
San Francisco,West,5/1/1938,5.264,-0.386
San Francisco,West,6/1/1938,5.634,-0.268
San Francisco,West,7/1/1938,5.654,-0.317
San Francisco,West,8/1/1938,5.484,-0.077
San Francisco,West,9/1/1938,5.224,-0.035
San Francisco,West,10/1/1938,5.054,-0.166
San Francisco,West,11/1/1938,5.123,-0.547
San Francisco,West,12/1/1938,5.474,-0.468
San Francisco,West,1/1/1939,5.405,-0.478
San Francisco,West,2/1/1939,4.903,-0.668
San Francisco,West,3/1/1939,4.765,-0.566
San Francisco,West,4/1/1939,4.844,-0.517
San Francisco,West,5/1/1939,5.185,-0.678
San Francisco,West,6/1/1939,5.352,-0.678
San Francisco,West,7/1/1939,5.415,-0.517
San Francisco,West,8/1/1939,5.454,-0.107
San Francisco,West,9/1/1939,5.474,0.342
San Francisco,West,10/1/1939,5.303,-0.087
San Francisco,West,11/1/1939,5.582,-0.278
San Francisco,West,12/1/1939,5.572,-0.517
San Francisco,West,1/1/1940,5.815,0.093
San Francisco,West,2/1/1940,5.654,0.254
San Francisco,West,3/1/1940,5.254,0.323
San Francisco,West,4/1/1940,4.903,-0.025
San Francisco,West,5/1/1940,5.162,-0.278
San Francisco,West,6/1/1940,5.454,-0.366
San Francisco,West,7/1/1940,5.552,-0.297
San Francisco,West,8/1/1940,5.552,-0.127
San Francisco,West,9/1/1940,5.444,0.254
San Francisco,West,10/1/1940,5.333,-0.087
San Francisco,West,11/1/1940,5.503,-0.356
San Francisco,West,12/1/1940,6.192,0.185
San Francisco,West,1/1/1941,6.015,0.605
San Francisco,West,2/1/1941,6.094,0.982
San Francisco,West,3/1/1941,5.805,0.982
San Francisco,West,4/1/1941,5.313,0.283
San Francisco,West,5/1/1941,5.323,-0.137
San Francisco,West,6/1/1941,5.323,-0.415
San Francisco,West,7/1/1941,5.743,-0.035
San Francisco,West,8/1/1941,5.562,-0.077
San Francisco,West,9/1/1941,5.523,0.254
San Francisco,West,10/1/1941,5.415,0.175
San Francisco,West,11/1/1941,5.634,0.005
San Francisco,West,12/1/1941,6.035,0.113
San Francisco,West,1/1/1942,5.762,0.073
San Francisco,West,2/1/1942,5.582,0.605
San Francisco,West,3/1/1942,5.024,-0.058
San Francisco,West,4/1/1942,5.283,0.205
San Francisco,West,5/1/1942,5.162,-0.517
San Francisco,West,6/1/1942,5.362,-0.566
San Francisco,West,7/1/1942,5.595,-0.366
San Francisco,West,8/1/1942,5.493,-0.107
San Francisco,West,9/1/1942,5.323,0.113
San Francisco,West,10/1/1942,5.054,-0.087
San Francisco,West,11/1/1942,5.195,-0.445
San Francisco,West,12/1/1942,5.283,-0.586
San Francisco,West,1/1/1943,5.634,-0.097
San Francisco,West,2/1/1943,5.434,-0.035
San Francisco,West,3/1/1943,5.185,0.083
San Francisco,West,4/1/1943,4.923,-0.205
San Francisco,West,5/1/1943,5.162,-0.366
San Francisco,West,6/1/1943,5.493,-0.356
San Francisco,West,7/1/1943,5.615,-0.327
San Francisco,West,8/1/1943,5.425,-0.235
San Francisco,West,9/1/1943,5.342,0.205
San Francisco,West,10/1/1943,5.283,-0.005
San Francisco,West,11/1/1943,5.385,-0.415
San Francisco,West,12/1/1943,5.605,-0.527
San Francisco,West,1/1/1944,5.444,-0.415
San Francisco,West,2/1/1944,5.454,-0.166
San Francisco,West,3/1/1944,5.073,-0.186
San Francisco,West,4/1/1944,4.834,-0.527
San Francisco,West,5/1/1944,5.195,-0.396
San Francisco,West,6/1/1944,5.405,-0.406
San Francisco,West,7/1/1944,5.713,-0.156
San Francisco,West,8/1/1944,5.523,-0.386
San Francisco,West,9/1/1944,5.444,-0.035
San Francisco,West,10/1/1944,5.224,-0.186
San Francisco,West,11/1/1944,5.513,-0.386
San Francisco,West,12/1/1944,5.634,-0.645
San Francisco,West,1/1/1945,5.474,-0.488
San Francisco,West,2/1/1945,5.274,-0.215
San Francisco,West,3/1/1945,4.863,-0.278
San Francisco,West,4/1/1945,4.673,-0.625
San Francisco,West,5/1/1945,5.064,-0.645
San Francisco,West,6/1/1945,5.493,-0.527
San Francisco,West,7/1/1945,5.674,-0.245
San Francisco,West,8/1/1945,5.572,-0.268
San Francisco,West,9/1/1945,5.493,0.044
San Francisco,West,10/1/1945,5.303,-0.025
San Francisco,West,11/1/1945,5.352,-0.435
San Francisco,West,12/1/1945,5.743,-0.258
San Francisco,West,1/1/1946,5.352,-0.445
San Francisco,West,2/1/1946,5.264,-0.297
San Francisco,West,3/1/1946,4.903,-0.415
San Francisco,West,4/1/1946,4.923,-0.425
San Francisco,West,5/1/1946,5.362,-0.566
San Francisco,West,6/1/1946,5.405,-0.835
San Francisco,West,7/1/1946,5.625,-0.527
San Francisco,West,8/1/1946,5.444,-0.297
San Francisco,West,9/1/1946,5.415,0.024
San Francisco,West,10/1/1946,5.175,-0.215
San Francisco,West,11/1/1946,5.405,-0.366
San Francisco,West,12/1/1946,5.615,-0.527
San Francisco,West,1/1/1947,5.533,-0.527
San Francisco,West,2/1/1947,5.543,-0.268
San Francisco,West,3/1/1947,5.303,-0.186
San Francisco,West,4/1/1947,4.893,-0.576
San Francisco,West,5/1/1947,5.405,-0.435
San Francisco,West,6/1/1947,5.625,-0.547
San Francisco,West,7/1/1947,5.484,-0.655
San Francisco,West,8/1/1947,5.474,-0.425
San Francisco,West,9/1/1947,5.303,-0.107
San Francisco,West,10/1/1947,5.274,-0.245
San Francisco,West,11/1/1947,5.303,-0.776
San Francisco,West,12/1/1947,5.562,-0.898
San Francisco,West,1/1/1948,5.674,-0.425
San Francisco,West,2/1/1948,5.342,-0.497
San Francisco,West,3/1/1948,5.113,-0.386
San Francisco,West,4/1/1948,5.175,-0.287
San Francisco,West,5/1/1948,5.123,-0.488
San Francisco,West,6/1/1948,5.552,-0.337
San Francisco,West,7/1/1948,5.713,-0.366
San Francisco,West,8/1/1948,5.644,-0.376
San Francisco,West,9/1/1948,5.454,-0.156
San Francisco,West,10/1/1948,5.205,-0.307
San Francisco,West,11/1/1948,5.372,-0.688
San Francisco,West,12/1/1948,5.625,-0.747
San Francisco,West,1/1/1949,5.484,-0.586
San Francisco,West,2/1/1949,5.523,-0.215
San Francisco,West,3/1/1949,5.264,0.044
San Francisco,West,4/1/1949,5.024,-0.507
San Francisco,West,5/1/1949,5.395,-0.586
San Francisco,West,6/1/1949,5.703,-0.468
San Francisco,West,7/1/1949,5.684,-0.415
San Francisco,West,8/1/1949,5.615,-0.396
San Francisco,West,9/1/1949,5.523,-0.058
San Francisco,West,10/1/1949,5.133,-0.366
San Francisco,West,11/1/1949,5.385,-0.507
San Francisco,West,12/1/1949,5.385,-0.786
San Francisco,West,1/1/1950,5.464,-0.707
San Francisco,West,2/1/1950,5.244,-0.415
San Francisco,West,3/1/1950,4.932,-0.616
San Francisco,West,4/1/1950,5.005,-0.497
San Francisco,West,5/1/1950,5.464,-0.678
San Francisco,West,6/1/1950,5.634,-0.625
San Francisco,West,7/1/1950,5.854,-0.346
San Francisco,West,8/1/1950,5.493,-0.258
San Francisco,West,9/1/1950,5.405,-0.025
San Francisco,West,10/1/1950,5.333,-0.186
San Francisco,West,11/1/1950,5.464,-0.425
San Francisco,West,12/1/1950,5.782,-0.077
San Francisco,West,1/1/1951,5.582,-0.406
San Francisco,West,2/1/1951,5.562,-0.107
San Francisco,West,3/1/1951,5.234,-0.366
San Francisco,West,4/1/1951,5.162,-0.415
San Francisco,West,5/1/1951,5.533,-0.337
San Francisco,West,6/1/1951,5.805,-0.346
San Francisco,West,7/1/1951,5.854,-0.278
San Francisco,West,8/1/1951,5.825,-0.087
San Francisco,West,9/1/1951,5.625,0.162
San Francisco,West,10/1/1951,5.552,-0.097
San Francisco,West,11/1/1951,5.874,-0.268
San Francisco,West,12/1/1951,6.005,-0.376
San Francisco,West,1/1/1952,6.054,0.205
San Francisco,West,2/1/1952,5.572,0.044
San Francisco,West,3/1/1952,5.303,-0.058
San Francisco,West,4/1/1952,5.215,-0.117
San Francisco,West,5/1/1952,5.185,-0.346
San Francisco,West,6/1/1952,5.595,-0.327
San Francisco,West,7/1/1952,5.782,-0.346
San Francisco,West,8/1/1952,5.743,-0.278
San Francisco,West,9/1/1952,5.562,-0.058
San Francisco,West,10/1/1952,5.385,-0.186
San Francisco,West,11/1/1952,5.792,-0.337
San Francisco,West,12/1/1952,6.064,-0.317
San Francisco,West,1/1/1953,5.792,-0.087
San Francisco,West,2/1/1953,5.234,-0.376
San Francisco,West,3/1/1953,5.185,-0.225
San Francisco,West,4/1/1953,5.073,-0.566
San Francisco,West,5/1/1953,5.323,-0.747
San Francisco,West,6/1/1953,5.493,-0.668
San Francisco,West,7/1/1953,5.733,-0.337
San Francisco,West,8/1/1953,5.562,-0.278
San Francisco,West,9/1/1953,5.582,0.044
San Francisco,West,10/1/1953,5.244,-0.245
San Francisco,West,11/1/1953,5.615,-0.327
San Francisco,West,12/1/1953,5.454,-0.625
San Francisco,West,1/1/1954,5.805,-0.268
San Francisco,West,2/1/1954,5.493,-0.005
San Francisco,West,3/1/1954,5.405,0.024
San Francisco,West,4/1/1954,5.215,-0.225
San Francisco,West,5/1/1954,5.552,-0.488
San Francisco,West,6/1/1954,5.615,-0.655
San Francisco,West,7/1/1954,5.703,-0.507
San Francisco,West,8/1/1954,5.572,-0.107
San Francisco,West,9/1/1954,5.333,-0.058
San Francisco,West,10/1/1954,5.224,-0.376
San Francisco,West,11/1/1954,5.434,-0.576
San Francisco,West,12/1/1954,5.615,-0.435
San Francisco,West,1/1/1955,5.572,-0.376
San Francisco,West,2/1/1955,5.333,-0.406
San Francisco,West,3/1/1955,5.195,-0.346
San Francisco,West,4/1/1955,5.024,-0.576
San Francisco,West,5/1/1955,5.385,-0.507
San Francisco,West,6/1/1955,5.615,-0.517
San Francisco,West,7/1/1955,5.615,-0.586
San Francisco,West,8/1/1955,5.625,-0.146
San Francisco,West,9/1/1955,5.293,0.034
San Francisco,West,10/1/1955,5.152,-0.468
San Francisco,West,11/1/1955,5.395,-0.747
San Francisco,West,12/1/1955,5.854,-0.376
San Francisco,West,1/1/1956,5.772,0.293
San Francisco,West,2/1/1956,5.434,0.103
San Francisco,West,3/1/1956,4.942,-0.278
San Francisco,West,4/1/1956,5.234,-0.297
San Francisco,West,5/1/1956,5.415,-0.258
San Francisco,West,6/1/1956,5.562,-0.287
San Francisco,West,7/1/1956,5.753,-0.235
San Francisco,West,8/1/1956,5.605,-0.176
San Francisco,West,9/1/1956,5.385,-0.025
San Francisco,West,10/1/1956,5.283,-0.186
San Francisco,West,11/1/1956,5.415,-0.556
San Francisco,West,12/1/1956,5.474,-0.727
San Francisco,West,1/1/1957,5.644,-0.337
San Francisco,West,2/1/1957,5.605,0.014
San Francisco,West,3/1/1957,5.113,0.024
San Francisco,West,4/1/1957,5.313,-0.225
San Francisco,West,5/1/1957,5.674,-0.176
San Francisco,West,6/1/1957,5.733,-0.406
San Francisco,West,7/1/1957,5.933,-0.127
San Francisco,West,8/1/1957,5.733,0.064
San Francisco,West,9/1/1957,5.703,0.313
San Francisco,West,10/1/1957,5.572,0.185
San Francisco,West,11/1/1957,5.664,-0.097
San Francisco,West,12/1/1957,5.835,-0.058
San Francisco,West,1/1/1958,5.884,0.083
San Francisco,West,2/1/1958,6.074,0.943
San Francisco,West,3/1/1958,5.582,0.562
San Francisco,West,4/1/1958,5.333,0.395
San Francisco,West,5/1/1958,5.634,-0.146
San Francisco,West,6/1/1958,5.805,-0.146
San Francisco,West,7/1/1958,5.864,-0.196
San Francisco,West,8/1/1958,5.835,0.283
San Francisco,West,9/1/1958,5.713,0.523
San Francisco,West,10/1/1958,5.644,0.274
San Francisco,West,11/1/1958,5.572,-0.287
San Francisco,West,12/1/1958,5.884,-0.137
San Francisco,West,1/1/1959,5.982,0.083
San Francisco,West,2/1/1959,5.933,0.313
San Francisco,West,3/1/1959,5.133,-0.166
San Francisco,West,4/1/1959,5.323,-0.166
San Francisco,West,5/1/1959,5.293,-0.406
San Francisco,West,6/1/1959,5.543,-0.458
San Francisco,West,7/1/1959,5.894,-0.186
San Francisco,West,8/1/1959,5.772,0.093
San Francisco,West,9/1/1959,5.595,0.313
San Francisco,West,10/1/1959,5.543,0.234
San Francisco,West,11/1/1959,5.572,-0.278
San Francisco,West,12/1/1959,5.864,-0.507
San Francisco,West,1/1/1960,5.792,-0.196
San Francisco,West,2/1/1960,5.464,-0.087
San Francisco,West,3/1/1960,5.123,-0.058
San Francisco,West,4/1/1960,4.883,-0.425
San Francisco,West,5/1/1960,5.044,-0.737
San Francisco,West,6/1/1960,5.625,-0.307
San Francisco,West,7/1/1960,5.694,-0.258
San Francisco,West,8/1/1960,5.582,-0.176
San Francisco,West,9/1/1960,5.425,0.093
San Francisco,West,10/1/1960,5.215,-0.077
San Francisco,West,11/1/1960,5.464,-0.258
San Francisco,West,12/1/1960,5.674,-0.445
San Francisco,West,1/1/1961,5.762,-0.235
San Francisco,West,2/1/1961,5.362,-0.166
San Francisco,West,3/1/1961,5.024,-0.117
San Francisco,West,4/1/1961,5.054,-0.268
San Francisco,West,5/1/1961,5.175,-0.707
San Francisco,West,6/1/1961,5.694,-0.468
San Francisco,West,7/1/1961,5.844,-0.297
San Francisco,West,8/1/1961,5.713,-0.058
San Francisco,West,9/1/1961,5.523,0.195
San Francisco,West,10/1/1961,5.133,-0.186
San Francisco,West,11/1/1961,5.385,-0.278
San Francisco,West,12/1/1961,5.625,-0.406
San Francisco,West,1/1/1962,5.674,-0.327
San Francisco,West,2/1/1962,5.805,0.274
San Francisco,West,3/1/1962,5.162,-0.146
San Francisco,West,4/1/1962,4.804,-0.596
San Francisco,West,5/1/1962,5.362,-0.468
San Francisco,West,6/1/1962,5.634,-0.435
San Francisco,West,7/1/1962,5.835,-0.297
San Francisco,West,8/1/1962,5.762,-0.025
San Francisco,West,9/1/1962,5.605,0.283
San Francisco,West,10/1/1962,5.615,0.234
San Francisco,West,11/1/1962,5.474,-0.297
San Francisco,West,12/1/1962,5.762,-0.376
San Francisco,West,1/1/1963,5.753,-0.215
San Francisco,West,2/1/1963,5.844,0.313
San Francisco,West,3/1/1963,5.205,-0.205
San Francisco,West,4/1/1963,5.264,-0.015
San Francisco,West,5/1/1963,5.395,-0.215
San Francisco,West,6/1/1963,5.684,-0.225
San Francisco,West,7/1/1963,5.844,-0.176
San Francisco,West,8/1/1963,5.664,-0.127
San Francisco,West,9/1/1963,5.654,0.133
San Francisco,West,10/1/1963,5.434,-0.005
San Francisco,West,11/1/1963,5.805,-0.215
San Francisco,West,12/1/1963,5.972,-0.478
San Francisco,West,1/1/1964,5.733,-0.445
San Francisco,West,2/1/1964,5.303,-0.386
San Francisco,West,3/1/1964,5.014,-0.337
San Francisco,West,4/1/1964,4.985,-0.547
San Francisco,West,5/1/1964,5.185,-0.655
San Francisco,West,6/1/1964,5.503,-0.606
San Francisco,West,7/1/1964,5.634,-0.537
San Francisco,West,8/1/1964,5.815,-0.215
San Francisco,West,9/1/1964,5.595,-0.035
San Francisco,West,10/1/1964,5.362,-0.186
San Francisco,West,11/1/1964,5.595,-0.356
San Francisco,West,12/1/1964,5.844,-0.346
San Francisco,West,1/1/1965,5.835,0.024
San Francisco,West,2/1/1965,5.595,-0.127
San Francisco,West,3/1/1965,5.454,0.024
San Francisco,West,4/1/1965,5.415,0.103
San Francisco,West,5/1/1965,5.293,-0.698
San Francisco,West,6/1/1965,5.703,-0.616
San Francisco,West,7/1/1965,5.753,-0.556
San Francisco,West,8/1/1965,5.753,-0.058
San Francisco,West,9/1/1965,5.743,0.205
San Francisco,West,10/1/1965,5.464,-0.005
San Francisco,West,11/1/1965,5.904,0.123
San Francisco,West,12/1/1965,6.143,0.133
San Francisco,West,1/1/1966,5.933,-0.087
San Francisco,West,2/1/1966,5.644,-0.297
San Francisco,West,3/1/1966,5.234,-0.415
San Francisco,West,4/1/1966,5.342,-0.287
San Francisco,West,5/1/1966,5.582,-0.406
San Francisco,West,6/1/1966,5.753,-0.635
San Francisco,West,7/1/1966,5.825,-0.478
San Francisco,West,8/1/1966,5.792,-0.087
San Francisco,West,9/1/1966,5.493,0.005
San Francisco,West,10/1/1966,5.523,-0.077
San Francisco,West,11/1/1966,5.825,-0.215
San Francisco,West,12/1/1966,5.923,-0.406
San Francisco,West,1/1/1967,5.913,-0.215
San Francisco,West,2/1/1967,5.605,-0.146
San Francisco,West,3/1/1967,5.562,-0.035
San Francisco,West,4/1/1967,5.333,-0.156
San Francisco,West,5/1/1967,5.385,-0.317
San Francisco,West,6/1/1967,5.743,-0.196
San Francisco,West,7/1/1967,5.772,-0.186
San Francisco,West,8/1/1967,5.772,-0.087
San Francisco,West,9/1/1967,5.694,0.054
San Francisco,West,10/1/1967,5.385,-0.176
San Francisco,West,11/1/1967,5.923,-0.215
San Francisco,West,12/1/1967,5.894,-0.655
San Francisco,West,1/1/1968,5.923,-0.445
San Francisco,West,2/1/1968,5.844,0.083
San Francisco,West,3/1/1968,5.385,0.073
San Francisco,West,4/1/1968,5.142,-0.478
San Francisco,West,5/1/1968,5.064,-0.688
San Francisco,West,6/1/1968,5.753,-0.556
San Francisco,West,7/1/1968,5.835,-0.356
San Francisco,West,8/1/1968,5.854,-0.166
San Francisco,West,9/1/1968,5.753,-0.005
San Francisco,West,10/1/1968,5.533,-0.176
San Francisco,West,11/1/1968,5.684,-0.346
San Francisco,West,12/1/1968,6.015,-0.488
San Francisco,West,1/1/1969,6.314,0.175
San Francisco,West,2/1/1969,6.182,0.762
San Francisco,West,3/1/1969,5.415,0.133
San Francisco,West,4/1/1969,5.372,-0.107
San Francisco,West,5/1/1969,5.552,-0.458
San Francisco,West,6/1/1969,5.743,-0.497
San Francisco,West,7/1/1969,5.943,-0.458
San Francisco,West,8/1/1969,5.844,-0.087
San Francisco,West,9/1/1969,5.743,0.073
San Francisco,West,10/1/1969,5.572,0.014
San Francisco,West,11/1/1969,5.815,-0.097
San Francisco,West,12/1/1969,6.005,-0.068
San Francisco,West,1/1/1970,6.054,0.034
San Francisco,West,2/1/1970,5.825,0.162
San Francisco,West,3/1/1970,5.605,-0.015
San Francisco,West,4/1/1970,5.034,-0.776
San Francisco,West,5/1/1970,5.474,-0.688
San Francisco,West,6/1/1970,5.694,-0.707
San Francisco,West,7/1/1970,5.825,-0.527
San Francisco,West,8/1/1970,5.694,-0.278
San Francisco,West,9/1/1970,5.533,0.044
San Francisco,West,10/1/1970,5.562,-0.068
San Francisco,West,11/1/1970,5.874,-0.287
San Francisco,West,12/1/1970,6.045,-0.245
San Francisco,West,1/1/1971,5.703,-0.327
San Francisco,West,2/1/1971,5.333,-0.517
San Francisco,West,3/1/1971,5.142,-0.698
San Francisco,West,4/1/1971,5.093,-0.606
San Francisco,West,5/1/1971,5.342,-0.616
San Francisco,West,6/1/1971,5.552,-0.547
San Francisco,West,7/1/1971,5.694,-0.356
San Francisco,West,8/1/1971,5.782,-0.048
